playlist,ordem,track_id,track_name,artists,duration_min,popularity,instrumentalness,danceability,tempo,acousticness,liveness,valence
PL1,1,2bRKxuH1o7pTmb1y4GfdEc,Clean White Noise - Loopable with no fade,White Noise Baby Sleep;White Noise for Babies,1.5038,85,1.0,0.0,0.0,0.791,0.111,0.0
PL1,2,2vWBUC9djv6BtiGlmKiQaH,YKWIM?,Yot Club,3.5458333333333334,84,0.873,0.372,123.735,0.937,0.287,0.228
PL1,3,11iIikXxC6NP0Ma8vMD27x,Alien Blues,Vundabar,2.598883333333333,82,0.908,0.467,82.282,0.0807,0.0876,0.433
PL1,4,7H7NyZ3G075GqPx2evsfeb,Chamber Of Reflection,Mac DeMarco,3.86205,82,0.914,0.538,131.03,0.262,0.102,0.506
PL1,5,5UBonaClAZVfzxJNn8nnhh,Brown Sleep Noise,Sleep Miracle,4.133333333333334,80,1.0,0.0555,59.509,0.116,0.112,0.06
PL1,6,1BncfTJAWxrsxyT9culBrj,Experience,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,5.2571,79,0.961,0.447,92.468,0.934,0.0697,0.036
PL1,7,5UqCQaDshqbIk3pkhy4Pjg,Levels - Radio Edit,Avicii,3.3317666666666668,79,0.828,0.584,126.04,0.0462,0.309,0.464
PL1,8,4pTkDIlpFNoeWbahu8pVXW,Shootout,Izzamuzzic;Julien Marchal,4.9218,78,0.906,0.663,86.986,0.312,0.109,0.553
PL1,9,0SpkyS1Q4MD8GaVcP5YjT4,Sunsetz,Cigarettes After Sex,3.5858333333333334,78,0.795,0.405,75.37,0.0527,0.0974,0.131
PL2,1,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake;21 Savage,3.6394,91,2.41e-06,0.529,165.921,0.000307,0.093,0.366
PL2,2,1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,3.81955,90,2.14e-06,0.4,166.159,0.0529,0.115,0.213
PL2,3,3fjN3y5x4hN53rykAN2LHQ,cómo dormiste?,Rels B,1.8762,89,0.0,0.627,126.426,0.238,0.122,0.565
PL2,4,38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,3.5095833333333335,90,0.0,0.637,141.872,0.148,0.0892,0.308
PL2,5,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,3.074116666666667,90,0.0,0.41,185.727,0.0228,0.116,0.0899
PL2,6,3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,4.072666666666667,93,1.65e-05,0.445,122.769,0.695,0.0944,0.131
PL2,7,7EkWXAI1wn8Ii883ecd9xr,Freaks,Surf Curse,2.451033333333333,86,0.633,0.345,179.626,3.84e-05,0.0511,0.407
PL2,8,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,3.334,91,9.54e-05,0.514,171.005,0.00146,0.0897,0.334
PL2,9,31i56LZnwE6uSu3exoHjtB,Neverita,Bad Bunny,2.8853166666666668,93,0.0,0.876,122.016,0.0706,0.143,0.428
PL2,10,6i1g5ZRmJZAkDwBaUZ3f2i,Caile,Luar La L,2.3556666666666666,91,3.75e-06,0.704,121.737,0.298,0.0852,0.461
PL2,11,6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,3.8909333333333334,94,4.78e-06,0.44,169.914,0.891,0.141,0.268
PL3,1,6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd,5.57905,77,0.0114,0.481,122.861,0.735,0.832,0.375
PL3,2,21Qsj3cMVCx2xF2EVVNbEu,Fell In Love With a Girl,The White Stripes,1.8348833333333334,72,0.00145,0.356,95.754,0.713,0.941,0.299
PL3,3,3kNVYo6BJE9AENxzokM9YC,Muerte En Hawaii,Calle 13,3.164433333333333,71,0.0,0.675,79.989,0.789,0.95,0.879
PL3,4,2q3LzfknBzye3xXjgiJBjS,When Scars Become Art,Gatton;Brooke Young,4.792666666666666,67,0.0,0.524,119.818,0.929,0.917,0.314
PL3,5,3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,2.6157166666666667,100,4.51e-06,0.714,131.121,0.013,0.266,0.238
PL3,6,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,3.3156166666666667,99,0.033,0.621,128.033,0.0125,0.23,0.55
