iteracao,playlist_alterada,track_id_removido,track_id_adicionado,movimento,popularidade_atual,melhor_popularidade,houve_melhoria_global,lista_tabu
1,PL2,39wVfCtaRAL6qCecrPQpo0,6xGruZOHLs39ZbVccQTuPZ,"('PL2', '39wVfCtaRAL6qCecrPQpo0', '6xGruZOHLs39ZbVccQTuPZ')",3382,3382,Sim,"[('PL2', '39wVfCtaRAL6qCecrPQpo0', '6xGruZOHLs39ZbVccQTuPZ')]"
2,PL2,6lvJDlBrtabJWiBlMTGxKs,31i56LZnwE6uSu3exoHjtB,"('PL2', '6lvJDlBrtabJWiBlMTGxKs', '31i56LZnwE6uSu3exoHjtB')",3415,3415,Sim,"[('PL2', '6lvJDlBrtabJWiBlMTGxKs', '31i56LZnwE6uSu3exoHjtB'), ('PL2', '39wVfCtaRAL6qCecrPQpo0', '6xGruZOHLs39ZbVccQTuPZ')]"
3,PL2,7pARbCUoO1CTzU5ucMEaVF,6i1g5ZRmJZAkDwBaUZ3f2i,"('PL2', '7pARbCUoO1CTzU5ucMEaVF', '6i1g5ZRmJZAkDwBaUZ3f2i')",3446,3446,Sim,"[('PL2', '7pARbCUoO1CTzU5ucMEaVF', '6i1g5ZRmJZAkDwBaUZ3f2i'), ('PL2', '6lvJDlBrtabJWiBlMTGxKs', '31i56LZnwE6uSu3exoHjtB'), ('PL2', '39wVfCtaRAL6qCecrPQpo0', '6xGruZOHLs39ZbVccQTuPZ')]"
4,PL2,6uW03WHG3qv2FzxPIW6SUP,0VjIjW4GlUZAMYd2vXMi3b,"('PL2', '6uW03WHG3qv2FzxPIW6SUP', '0VjIjW4GlUZAMYd2vXMi3b')",3476,3476,Sim,"[('PL2', '6uW03WHG3qv2FzxPIW6SUP', '0VjIjW4GlUZAMYd2vXMi3b'), ('PL2', '7pARbCUoO1CTzU5ucMEaVF', '6i1g5ZRmJZAkDwBaUZ3f2i'), ('PL2', '6lvJDlBrtabJWiBlMTGxKs', '31i56LZnwE6uSu3exoHjtB'), ('PL2', '39wVfCtaRAL6qCecrPQpo0', '6xGruZOHLs39ZbVccQTuPZ')]"
5,PL2,06Zz2l7cVTCTgCNDe1bnEF,3JvKfv6T31zO0ini8iNItO,"('PL2', '06Zz2l7cVTCTgCNDe1bnEF', '3JvKfv6T31zO0ini8iNItO')",3505,3505,Sim,"[('PL2', '06Zz2l7cVTCTgCNDe1bnEF', '3JvKfv6T31zO0ini8iNItO'), ('PL2', '6uW03WHG3qv2FzxPIW6SUP', '0VjIjW4GlUZAMYd2vXMi3b'), ('PL2', '7pARbCUoO1CTzU5ucMEaVF', '6i1g5ZRmJZAkDwBaUZ3f2i'), ('PL2', '6lvJDlBrtabJWiBlMTGxKs', '31i56LZnwE6uSu3exoHjtB'), ('PL2', '39wVfCtaRAL6qCecrPQpo0', '6xGruZOHLs39ZbVccQTuPZ')]"
6,PL2,0wxGIpOZbDR4RGy1sh3XhR,7EkWXAI1wn8Ii883ecd9xr,"('PL2', '0wxGIpOZbDR4RGy1sh3XhR', '7EkWXAI1wn8Ii883ecd9xr')",3527,3527,Sim,"[('PL2', '0wxGIpOZbDR4RGy1sh3XhR', '7EkWXAI1wn8Ii883ecd9xr'), ('PL2', '06Zz2l7cVTCTgCNDe1bnEF', '3JvKfv6T31zO0ini8iNItO'), ('PL2', '6uW03WHG3qv2FzxPIW6SUP', '0VjIjW4GlUZAMYd2vXMi3b'), ('PL2', '7pARbCUoO1CTzU5ucMEaVF', '6i1g5ZRmJZAkDwBaUZ3f2i'), ('PL2', '6lvJDlBrtabJWiBlMTGxKs', '31i56LZnwE6uSu3exoHjtB')]"
7,PL2,11qh54D0PKkBwelpDxxiEU,58HvfVOeJY7lUuCqF0m3ly,"('PL2', '11qh54D0PKkBwelpDxxiEU', '58HvfVOeJY7lUuCqF0m3ly')",3547,3547,Sim,"[('PL2', '11qh54D0PKkBwelpDxxiEU', '58HvfVOeJY7lUuCqF0m3ly'), ('PL2', '0wxGIpOZbDR4RGy1sh3XhR', '7EkWXAI1wn8Ii883ecd9xr'), ('PL2', '06Zz2l7cVTCTgCNDe1bnEF', '3JvKfv6T31zO0ini8iNItO'), ('PL2', '6uW03WHG3qv2FzxPIW6SUP', '0VjIjW4GlUZAMYd2vXMi3b'), ('PL2', '7pARbCUoO1CTzU5ucMEaVF', '6i1g5ZRmJZAkDwBaUZ3f2i')]"
8,PL2,7ncPjJBktLEOpstY5JOUMK,38T0tPVZHcPZyhtOcCP7pF,"('PL2', '7ncPjJBktLEOpstY5JOUMK', '38T0tPVZHcPZyhtOcCP7pF')",3566,3566,Sim,"[('PL2', '7ncPjJBktLEOpstY5JOUMK', '38T0tPVZHcPZyhtOcCP7pF'), ('PL2', '11qh54D0PKkBwelpDxxiEU', '58HvfVOeJY7lUuCqF0m3ly'), ('PL2', '0wxGIpOZbDR4RGy1sh3XhR', '7EkWXAI1wn8Ii883ecd9xr'), ('PL2', '06Zz2l7cVTCTgCNDe1bnEF', '3JvKfv6T31zO0ini8iNItO'), ('PL2', '6uW03WHG3qv2FzxPIW6SUP', '0VjIjW4GlUZAMYd2vXMi3b')]"
9,PL2,2RsAajgo0g7bMCHxwH3Sk0,3F5CgOj3wFlRv51JsHbxhe,"('PL2', '2RsAajgo0g7bMCHxwH3Sk0', '3F5CgOj3wFlRv51JsHbxhe')",3578,3578,Sim,"[('PL2', '2RsAajgo0g7bMCHxwH3Sk0', '3F5CgOj3wFlRv51JsHbxhe'), ('PL2', '7ncPjJBktLEOpstY5JOUMK', '38T0tPVZHcPZyhtOcCP7pF'), ('PL2', '11qh54D0PKkBwelpDxxiEU', '58HvfVOeJY7lUuCqF0m3ly'), ('PL2', '0wxGIpOZbDR4RGy1sh3XhR', '7EkWXAI1wn8Ii883ecd9xr'), ('PL2', '06Zz2l7cVTCTgCNDe1bnEF', '3JvKfv6T31zO0ini8iNItO')]"
10,PL2,1almCHdsfikRPfVB9VrEdT,3fjN3y5x4hN53rykAN2LHQ,"('PL2', '1almCHdsfikRPfVB9VrEdT', '3fjN3y5x4hN53rykAN2LHQ')",3590,3590,Sim,"[('PL2', '1almCHdsfikRPfVB9VrEdT', '3fjN3y5x4hN53rykAN2LHQ'), ('PL2', '2RsAajgo0g7bMCHxwH3Sk0', '3F5CgOj3wFlRv51JsHbxhe'), ('PL2', '7ncPjJBktLEOpstY5JOUMK', '38T0tPVZHcPZyhtOcCP7pF'), ('PL2', '11qh54D0PKkBwelpDxxiEU', '58HvfVOeJY7lUuCqF0m3ly'), ('PL2', '0wxGIpOZbDR4RGy1sh3XhR', '7EkWXAI1wn8Ii883ecd9xr')]"
11,PL2,0cGG2EouYCEEC3xfa0tDFV,1Fid2jjqsHViMX6xNH70hE,"('PL2', '0cGG2EouYCEEC3xfa0tDFV', '1Fid2jjqsHViMX6xNH70hE')",3601,3601,Sim,"[('PL2', '0cGG2EouYCEEC3xfa0tDFV', '1Fid2jjqsHViMX6xNH70hE'), ('PL2', '1almCHdsfikRPfVB9VrEdT', '3fjN3y5x4hN53rykAN2LHQ'), ('PL2', '2RsAajgo0g7bMCHxwH3Sk0', '3F5CgOj3wFlRv51JsHbxhe'), ('PL2', '7ncPjJBktLEOpstY5JOUMK', '38T0tPVZHcPZyhtOcCP7pF'), ('PL2', '11qh54D0PKkBwelpDxxiEU', '58HvfVOeJY7lUuCqF0m3ly')]"
12,PL4,7JJmb5XwzOO8jgpou264Ml,5Eax0qFko2dh7Rl2lYs3bx,"('PL4', '7JJmb5XwzOO8jgpou264Ml', '5Eax0qFko2dh7Rl2lYs3bx')",3611,3611,Sim,"[('PL4', '7JJmb5XwzOO8jgpou264Ml', '5Eax0qFko2dh7Rl2lYs3bx'), ('PL2', '0cGG2EouYCEEC3xfa0tDFV', '1Fid2jjqsHViMX6xNH70hE'), ('PL2', '1almCHdsfikRPfVB9VrEdT', '3fjN3y5x4hN53rykAN2LHQ'), ('PL2', '2RsAajgo0g7bMCHxwH3Sk0', '3F5CgOj3wFlRv51JsHbxhe'), ('PL2', '7ncPjJBktLEOpstY5JOUMK', '38T0tPVZHcPZyhtOcCP7pF')]"
13,PL4,0QBzMgT7NIeoCYy3sJCof1,5IgjP7X4th6nMNDh4akUHb,"('PL4', '0QBzMgT7NIeoCYy3sJCof1', '5IgjP7X4th6nMNDh4akUHb')",3620,3620,Sim,"[('PL4', '0QBzMgT7NIeoCYy3sJCof1', '5IgjP7X4th6nMNDh4akUHb'), ('PL4', '7JJmb5XwzOO8jgpou264Ml', '5Eax0qFko2dh7Rl2lYs3bx'), ('PL2', '0cGG2EouYCEEC3xfa0tDFV', '1Fid2jjqsHViMX6xNH70hE'), ('PL2', '1almCHdsfikRPfVB9VrEdT', '3fjN3y5x4hN53rykAN2LHQ'), ('PL2', '2RsAajgo0g7bMCHxwH3Sk0', '3F5CgOj3wFlRv51JsHbxhe')]"
14,PL4,0xzI1KAr0Yd9tv8jlIk3sn,2QjOHCTQ1Jl3zawyYOpxh6,"('PL4', '0xzI1KAr0Yd9tv8jlIk3sn', '2QjOHCTQ1Jl3zawyYOpxh6')",3626,3626,Sim,"[('PL4', '0xzI1KAr0Yd9tv8jlIk3sn', '2QjOHCTQ1Jl3zawyYOpxh6'), ('PL4', '0QBzMgT7NIeoCYy3sJCof1', '5IgjP7X4th6nMNDh4akUHb'), ('PL4', '7JJmb5XwzOO8jgpou264Ml', '5Eax0qFko2dh7Rl2lYs3bx'), ('PL2', '0cGG2EouYCEEC3xfa0tDFV', '1Fid2jjqsHViMX6xNH70hE'), ('PL2', '1almCHdsfikRPfVB9VrEdT', '3fjN3y5x4hN53rykAN2LHQ')]"
15,PL2,38T0tPVZHcPZyhtOcCP7pF,1797zYiX4cKosMH836X9Gt,"('PL2', '38T0tPVZHcPZyhtOcCP7pF', '1797zYiX4cKosMH836X9Gt')",3626,3626,Não,"[('PL2', '38T0tPVZHcPZyhtOcCP7pF', '1797zYiX4cKosMH836X9Gt'), ('PL4', '0xzI1KAr0Yd9tv8jlIk3sn', '2QjOHCTQ1Jl3zawyYOpxh6'), ('PL4', '0QBzMgT7NIeoCYy3sJCof1', '5IgjP7X4th6nMNDh4akUHb'), ('PL4', '7JJmb5XwzOO8jgpou264Ml', '5Eax0qFko2dh7Rl2lYs3bx'), ('PL2', '0cGG2EouYCEEC3xfa0tDFV', '1Fid2jjqsHViMX6xNH70hE')]"
16,PL2,1797zYiX4cKosMH836X9Gt,7DbdUf8aHSYoliSjO6LZv6,"('PL2', '1797zYiX4cKosMH836X9Gt', '7DbdUf8aHSYoliSjO6LZv6')",3626,3626,Não,"[('PL2', '1797zYiX4cKosMH836X9Gt', '7DbdUf8aHSYoliSjO6LZv6'), ('PL2', '38T0tPVZHcPZyhtOcCP7pF', '1797zYiX4cKosMH836X9Gt'), ('PL4', '0xzI1KAr0Yd9tv8jlIk3sn', '2QjOHCTQ1Jl3zawyYOpxh6'), ('PL4', '0QBzMgT7NIeoCYy3sJCof1', '5IgjP7X4th6nMNDh4akUHb'), ('PL4', '7JJmb5XwzOO8jgpou264Ml', '5Eax0qFko2dh7Rl2lYs3bx')]"
17,PL2,7DbdUf8aHSYoliSjO6LZv6,1797zYiX4cKosMH836X9Gt,"('PL2', '7DbdUf8aHSYoliSjO6LZv6', '1797zYiX4cKosMH836X9Gt')",3626,3626,Não,"[('PL2', '7DbdUf8aHSYoliSjO6LZv6', '1797zYiX4cKosMH836X9Gt'), ('PL2', '1797zYiX4cKosMH836X9Gt', '7DbdUf8aHSYoliSjO6LZv6'), ('PL2', '38T0tPVZHcPZyhtOcCP7pF', '1797zYiX4cKosMH836X9Gt'), ('PL4', '0xzI1KAr0Yd9tv8jlIk3sn', '2QjOHCTQ1Jl3zawyYOpxh6'), ('PL4', '0QBzMgT7NIeoCYy3sJCof1', '5IgjP7X4th6nMNDh4akUHb')]"
18,PL2,1797zYiX4cKosMH836X9Gt,2rurDawMfoKP4uHyb2kJBt,"('PL2', '1797zYiX4cKosMH836X9Gt', '2rurDawMfoKP4uHyb2kJBt')",3626,3626,Não,"[('PL2', '1797zYiX4cKosMH836X9Gt', '2rurDawMfoKP4uHyb2kJBt'), ('PL2', '7DbdUf8aHSYoliSjO6LZv6', '1797zYiX4cKosMH836X9Gt'), ('PL2', '1797zYiX4cKosMH836X9Gt', '7DbdUf8aHSYoliSjO6LZv6'), ('PL2', '38T0tPVZHcPZyhtOcCP7pF', '1797zYiX4cKosMH836X9Gt'), ('PL4', '0xzI1KAr0Yd9tv8jlIk3sn', '2QjOHCTQ1Jl3zawyYOpxh6')]"
19,PL2,3fjN3y5x4hN53rykAN2LHQ,5HCyWlXZPP0y6Gqq8TgA20,"('PL2', '3fjN3y5x4hN53rykAN2LHQ', '5HCyWlXZPP0y6Gqq8TgA20')",3626,3626,Não,"[('PL2', '3fjN3y5x4hN53rykAN2LHQ', '5HCyWlXZPP0y6Gqq8TgA20'), ('PL2', '1797zYiX4cKosMH836X9Gt', '2rurDawMfoKP4uHyb2kJBt'), ('PL2', '7DbdUf8aHSYoliSjO6LZv6', '1797zYiX4cKosMH836X9Gt'), ('PL2', '1797zYiX4cKosMH836X9Gt', '7DbdUf8aHSYoliSjO6LZv6'), ('PL2', '38T0tPVZHcPZyhtOcCP7pF', '1797zYiX4cKosMH836X9Gt')]"
